SA2_MAINCODE_2016,SA2_NAME_2016,RA_CODE_2016,RA_NAME_2016,RATIO,PERCENTAGE
,,,,,
101021007,Braidwood,11,Inner Regional Australia,0.7497433,74.9743278
101021007,Braidwood,12,Outer Regional Australia,0.2502567,25.0256722
101021008,Karabar,10,Major Cities of Australia,1,100
101021009,Queanbeyan,10,Major Cities of Australia,1,100
101021010,Queanbeyan - East,10,Major Cities of Australia,1,100
101021011,Queanbeyan Region,10,Major Cities of Australia,0.0484382,4.843819
101021011,Queanbeyan Region,11,Inner Regional Australia,0.9515618,95.156181
101021012,Queanbeyan West - Jerrabomberra,10,Major Cities of Australia,1,100
101031013,Bombala,12,Outer Regional Australia,1,100
101031014,Cooma,11,Inner Regional Australia,1,100
101031015,Cooma Region,11,Inner Regional Australia,0.5722569,57.2256922
101031015,Cooma Region,12,Outer Regional Australia,0.4277431,42.7743078
101031016,Jindabyne - Berridale,12,Outer Regional Australia,1,100
101041017,Batemans Bay,11,Inner Regional Australia,1,100
101041018,Batemans Bay - South,11,Inner Regional Australia,1,100
101041019,Bega - Tathra,12,Outer Regional Australia,1,100
101041020,Bega-Eden Hinterland,12,Outer Regional Australia,1,100
101041021,Broulee - Tomakin,11,Inner Regional Australia,1,100
101041022,Deua - Wadbilliga,12,Outer Regional Australia,1,100
101041023,Eden,12,Outer Regional Australia,1,100
101041024,Eurobodalla Hinterland,11,Inner Regional Australia,0.6834752,68.3475176
101041024,Eurobodalla Hinterland,12,Outer Regional Australia,0.3165248,31.6524824
101041025,Merimbula - Tura Beach,12,Outer Regional Australia,1,100
101041026,Moruya - Tuross Head,11,Inner Regional Australia,0.6840126,68.401264
101041026,Moruya - Tuross Head,12,Outer Regional Australia,0.3159874,31.598736
101041027,Narooma - Bermagui,12,Outer Regional Australia,1,100
101051539,Goulburn,11,Inner Regional Australia,1,100
101051540,Goulburn Region,11,Inner Regional Australia,0.8910069,89.1006878
101051540,Goulburn Region,12,Outer Regional Australia,0.1089931,10.8993122
101061541,Yass,11,Inner Regional Australia,1,100
101061542,Yass Region,10,Major Cities of Australia,0.0483857,4.8385683
101061542,Yass Region,11,Inner Regional Australia,0.9246367,92.4636707
101061542,Yass Region,12,Outer Regional Australia,0.0269776,2.697761
101061543,Young,11,Inner Regional Australia,1,100
101061544,Young Region,11,Inner Regional Australia,0.6506401,65.0640134
101061544,Young Region,12,Outer Regional Australia,0.3493599,34.9359866
102011028,Avoca Beach - Copacabana,10,Major Cities of Australia,1,100
102011029,Box Head - MacMasters Beach,10,Major Cities of Australia,1,100
102011030,Calga - Kulnura,10,Major Cities of Australia,0.0982906,9.8290632
102011030,Calga - Kulnura,11,Inner Regional Australia,0.9017094,90.1709368
102011031,Erina - Green Point,10,Major Cities of Australia,1,100
102011032,Gosford - Springfield,10,Major Cities of Australia,1,100
102011033,Kariong,10,Major Cities of Australia,1,100
102011034,Kincumber - Picketts Valley,10,Major Cities of Australia,1,100
102011035,Narara,10,Major Cities of Australia,1,100
102011036,Niagara Park - Lisarow,10,Major Cities of Australia,1,100
102011037,Point Clare - Koolewong,10,Major Cities of Australia,1,100
102011038,Saratoga - Davistown,10,Major Cities of Australia,1,100
102011039,Terrigal - North Avoca,10,Major Cities of Australia,1,100
102011040,Umina - Booker Bay - Patonga,10,Major Cities of Australia,1,100
102011041,Wamberal - Forresters Beach,10,Major Cities of Australia,1,100
102011042,Woy Woy - Blackwall,10,Major Cities of Australia,1,100
102011043,Wyoming,10,Major Cities of Australia,1,100
102021044,Bateau Bay - Killarney Vale,10,Major Cities of Australia,1,100
102021045,Blue Haven - San Remo,10,Major Cities of Australia,1,100
102021046,Budgewoi - Buff Point - Halekulani,10,Major Cities of Australia,1,100
102021047,Chittaway Bay - Tumbi Umbi,10,Major Cities of Australia,1,100
102021048,Gorokan - Kanwal - Charmhaven,10,Major Cities of Australia,1,100
102021049,Jilliby - Yarramalong,10,Major Cities of Australia,0.4066489,40.6648926
102021049,Jilliby - Yarramalong,11,Inner Regional Australia,0.5933511,59.3351074
102021050,Lake Munmorah - Mannering Park,10,Major Cities of Australia,1,100
102021051,Ourimbah - Fountaindale,10,Major Cities of Australia,0.8994862,89.9486193
102021051,Ourimbah - Fountaindale,11,Inner Regional Australia,0.1005138,10.0513807
102021052,Summerland Point - Gwandalan,10,Major Cities of Australia,1,100
102021053,The Entrance,10,Major Cities of Australia,1,100
102021054,Toukley - Norah Head,10,Major Cities of Australia,1,100
