sa2_2016,ra_2016
101021007,Inner Regional Australia
101021007,Outer Regional Australia
101021008,Major Cities of Australia
101021009,Major Cities of Australia
101021010,Major Cities of Australia
101021011,Inner Regional Australia
101021011,Major Cities of Australia
101021012,Major Cities of Australia
101031013,Outer Regional Australia
101031014,Inner Regional Australia
101031015,Outer Regional Australia
101031015,Inner Regional Australia
101031016,Outer Regional Australia
101041017,Inner Regional Australia
101041018,Inner Regional Australia
101041019,Outer Regional Australia
101041020,Outer Regional Australia
101041021,Inner Regional Australia
101041022,Outer Regional Australia
101041023,Outer Regional Australia
101041024,Inner Regional Australia
101041024,Outer Regional Australia
101041025,Outer Regional Australia
101041026,Outer Regional Australia
101041026,Inner Regional Australia
101041027,Outer Regional Australia
102011028,Major Cities of Australia
102011029,Major Cities of Australia
102011030,Inner Regional Australia
102011030,Major Cities of Australia
102011031,Major Cities of Australia
102011032,Major Cities of Australia
102011033,Major Cities of Australia
102011034,Major Cities of Australia
102011035,Major Cities of Australia
102011036,Major Cities of Australia
102011037,Major Cities of Australia
102011038,Major Cities of Australia
102011039,Major Cities of Australia
102011040,Major Cities of Australia
102011041,Major Cities of Australia
102011042,Major Cities of Australia
102011043,Major Cities of Australia
102021044,Major Cities of Australia
102021045,Major Cities of Australia
102021046,Major Cities of Australia
102021047,Major Cities of Australia
102021048,Major Cities of Australia
102021049,Major Cities of Australia
102021049,Inner Regional Australia
102021050,Major Cities of Australia
102021051,Major Cities of Australia
102021051,Inner Regional Australia
102021052,Major Cities of Australia
102021053,Major Cities of Australia
102021054,Major Cities of Australia
102021055,Major Cities of Australia
102021056,Major Cities of Australia
102021057,Major Cities of Australia
103011058,Inner Regional Australia
103011059,Inner Regional Australia
103011060,Inner Regional Australia
103011060,Outer Regional Australia
103011061,Inner Regional Australia
103011061,Outer Regional Australia
103021062,Outer Regional Australia
103021062,Remote Australia
103021063,Inner Regional Australia
103021064,Inner Regional Australia
103021064,Outer Regional Australia
103021065,Outer Regional Australia
103021066,Outer Regional Australia
103021067,Outer Regional Australia
103021068,Outer Regional Australia
103021069,Outer Regional Australia
103021069,Remote Australia
103031070,Inner Regional Australia
103031071,Inner Regional Australia
103031071,Outer Regional Australia
103031072,Inner Regional Australia
103031073,Inner Regional Australia
103031073,Outer Regional Australia
103031074,Outer Regional Australia
103031075,Outer Regional Australia
103041076,Inner Regional Australia
103041076,Outer Regional Australia
103041077,Inner Regional Australia
103041078,Inner Regional Australia
